trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
26,False,"{'a': 0.05, 'e': 0.2865047968601901}",30,0,-36.892827523995095,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
27,False,"{'a': 0.05, 'e': 0.2725317930340126}",25,0,-22.881371648987017,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
28,False,"{'a': 0.05, 'e': 0.2592402606458915}",25,0,-8.765323663300792,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.05, 'e': 0.24659696394160643}",20,0,-1.951189708886518,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
30,False,"{'a': 0.05, 'e': 0.23457028809379762}",20,14,13.053547674872824,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.05, 'e': 0.22313016014842982}",20,0,-56.93443918146113,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
32,False,"{'a': 0.05, 'e': 0.21224797382674304}",30,0,41.27193240135044,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.05, 'e': 0.20189651799465538}",30,0,-3.8300189076353295,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.05, 'e': 0.19204990862075408}",20,0,-81.96339503970069,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
35,False,"{'a': 0.05, 'e': 0.1826835240527346}",25,0,4.199695635731619,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.17377394345044514}",30,2,-17.345312735168935,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.05, 'e': 0.16529888822158653}",30,0,38.728804821040384,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.05, 'e': 0.1572371663136276}",20,3,-2.7951589859709385,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
